Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,70,160,4,0,3,126,91,31.50,92,91,23.00,288,109,72.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,87,201,3,0,2,151,100,50.33,101,100,33.67,276,110,92.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,37,45,1,0,1,45,45,45.00,45,45,45.00,111,111,111.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,246,291,2,0,2,290,289,145.00,289,289,144.50,213,112,106.50,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,28,38,2,0,2,35,31,17.50,32,31,16.00,180,113,90.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,94,111,1,0,1,111,111,111.00,111,111,111.00,114,114,114.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,30,37,2,0,2,36,35,18.00,35,35,17.50,217,115,108.50,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,65,81,1,0,1,81,81,81.00,81,81,81.00,116,116,116.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,23,27,1,0,1,27,27,27.00,27,27,27.00,117,117,117.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,23,28,1,0,1,28,28,28.00,28,28,28.00,118,118,118.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,26,31,2,0,2,30,29,15.00,29,29,14.50,222,119,111.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,459,634,4,0,3,600,561,150.00,566,561,141.50,293,120,73.25,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,54,96,2,0,2,80,64,40.00,64,64,32.00,226,121,113.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,26,31,2,0,2,30,29,15.00,29,29,14.50,228,122,114.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,53,66,2,0,2,65,64,32.50,64,64,32.00,230,123,115.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,33,43,2,0,2,40,37,20.00,37,37,18.50,232,124,116.00,35,No
