Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/Date.java,45,60,2,0,1,56,53,28.00,52,53,26.00,400,377,200.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MaxDouble.java,59,77,3,0,1,73,69,24.33,69,69,23.00,446,378,148.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MaxFloat.java,58,75,3,0,1,71,67,23.67,67,67,22.33,449,379,149.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MaxInt.java,58,76,3,0,1,72,68,24.00,68,68,22.67,452,380,150.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MaxLong.java,59,76,3,0,1,72,68,24.00,68,68,22.67,455,381,151.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MinDouble.java,58,76,3,0,1,72,68,24.00,68,68,22.67,458,382,152.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MinFloat.java,59,77,3,0,1,73,69,24.33,69,69,23.00,461,383,153.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MinInt.java,58,76,3,0,1,72,68,24.00,68,68,22.67,464,384,154.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MinLong.java,59,77,3,0,1,73,69,24.33,69,69,23.00,467,385,155.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/MinString.java,63,81,3,0,1,77,73,25.67,73,73,24.33,470,386,156.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/RandomInt.java,38,49,2,0,1,47,45,23.50,45,45,22.50,420,387,210.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/SumDouble.java,58,76,3,0,1,72,68,24.00,68,68,22.67,475,388,158.33,20,Yes
